mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
flush,miss,117,2502,10779,13281,56,1
flush,hit,117,256,538,794,0,1
flush,miss,118,2378,12858,15236,69,1
flush,hit,118,253,524,777,0,1
flush,miss,119,2528,9656,12184,49,1
flush,hit,119,251,541,792,0,1
flush,miss,120,2334,9629,11963,49,1
flush,hit,120,254,523,777,0,1
flush,miss,121,2870,12364,15234,42,1
flush,hit,121,337,794,1131,0,1
flush,miss,122,2426,10825,13251,56,1
flush,hit,122,264,549,813,0,1
flush,miss,123,2501,13285,15786,71,1
flush,hit,123,250,526,776,0,1
flush,miss,124,2200,12154,14354,64,1
flush,hit,124,261,525,786,0,1
flush,miss,125,2487,11012,13499,57,1
flush,hit,125,257,533,790,0,1
flush,miss,126,2380,11121,13501,58,1
flush,hit,126,319,798,1117,0,1
flush,miss,127,2759,10835,13594,56,1
flush,hit,127,306,740,1046,0,1
flush,miss,128,2298,10984,13282,57,1
flush,hit,128,258,535,793,0,1
flush,miss,129,2314,11595,13909,61,1
flush,hit,129,263,595,858,0,1
flush,miss,130,2155,10967,13122,57,1
flush,hit,130,252,511,763,0,1
flush,miss,131,3448,10613,14061,54,1
flush,hit,131,257,523,780,0,1
flush,miss,132,2361,15318,17679,48,1
flush,hit,132,340,837,1177,0,1
flush,miss,133,2601,12271,14872,64,1
flush,hit,133,265,582,847,0,1
flush,miss,134,2315,10778,13093,56,1
flush,hit,134,252,529,781,0,1
flush,miss,135,2410,11014,13424,57,1
flush,hit,135,251,529,780,0,1
flush,miss,136,2345,9908,12253,51,1
flush,hit,136,251,528,779,0,1
flush,miss,137,2460,15199,17659,49,1
flush,hit,137,248,534,782,0,1
flush,miss,138,2456,13846,16302,51,1
flush,hit,138,257,585,842,0,1
flush,miss,139,2488,11062,13550,57,1
flush,hit,139,256,554,810,0,1
flush,miss,140,2371,13291,15662,71,1
flush,hit,140,256,534,790,0,1
flush,miss,141,2520,10464,12984,54,1
flush,hit,141,254,547,801,0,1
flush,miss,142,2293,10766,13059,56,1
flush,hit,142,265,549,814,0,1
flush,miss,143,2849,14405,17254,49,1
flush,hit,143,320,831,1151,0,1
flush,miss,144,2456,11112,13568,19,1
flush,hit,144,256,617,873,0,1
flush,miss,145,2498,13311,15809,71,1
flush,hit,145,256,546,802,0,1
