mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
dontcache,hit,110,254,671,925,0,1
dontcache,miss,111,2381,11800,14181,64,1
dontcache,hit,111,246,550,796,0,1
dontcache,miss,112,2253,11743,13996,64,1
dontcache,hit,112,249,561,810,0,1
dontcache,miss,113,2483,45033,47516,263,1
dontcache,hit,113,247,558,805,0,1
dontcache,miss,114,2229,14383,16612,80,1
dontcache,hit,114,263,545,808,0,1
dontcache,miss,115,2455,10974,13429,59,1
dontcache,hit,115,248,558,806,0,1
dontcache,miss,116,2260,10949,13209,59,1
dontcache,hit,116,250,545,795,0,1
dontcache,miss,117,2484,10812,13296,58,1
dontcache,hit,117,247,556,803,0,1
dontcache,miss,118,2267,13736,16003,76,1
dontcache,hit,118,275,602,877,0,1
dontcache,miss,119,2468,13352,15820,73,1
dontcache,hit,119,273,546,819,0,1
dontcache,miss,120,2079,11086,13165,60,1
dontcache,hit,120,258,530,788,0,1
dontcache,miss,121,2428,9099,11527,48,1
dontcache,hit,121,254,546,800,0,1
dontcache,miss,122,2296,11134,13430,60,1
dontcache,hit,122,319,520,839,0,1
dontcache,miss,123,2464,13403,15867,74,1
dontcache,hit,123,250,543,793,0,1
dontcache,miss,124,2085,11082,13167,60,1
dontcache,hit,124,248,528,776,0,1
dontcache,miss,125,2282,9743,12025,52,1
dontcache,hit,125,253,544,797,0,1
dontcache,miss,126,2326,10223,12549,55,1
dontcache,hit,126,248,534,782,0,1
dontcache,miss,127,2463,9446,11909,50,1
dontcache,hit,127,247,528,775,0,1
dontcache,miss,128,2277,9738,12015,52,1
dontcache,hit,128,254,536,790,0,1
dontcache,miss,129,2288,10788,13076,58,1
dontcache,hit,129,254,538,792,0,1
dontcache,miss,130,2275,10558,12833,57,1
dontcache,hit,130,252,545,797,0,1
dontcache,miss,131,2439,9773,12212,52,1
dontcache,hit,131,246,547,793,0,1
dontcache,miss,132,2273,10401,12674,56,1
dontcache,hit,132,250,551,801,0,1
dontcache,miss,133,2457,10421,12878,56,1
dontcache,hit,133,247,540,787,0,1
dontcache,miss,134,2238,10669,12907,57,1
dontcache,hit,134,250,533,783,0,1
dontcache,miss,135,2458,9082,11540,48,1
dontcache,hit,135,255,533,788,0,1
dontcache,miss,136,2271,10607,12878,57,1
dontcache,hit,136,253,525,778,0,1
dontcache,miss,137,2446,10343,12789,55,1
dontcache,hit,137,254,536,790,0,1
dontcache,miss,138,2199,10455,12654,56,1
dontcache,hit,138,251,537,788,0,1
dontcache,miss,139,2447,10331,12778,55,1
dontcache,hit,139,249,528,777,0,1
dontcache,miss,140,2262,17534,19796,63,1
dontcache,hit,140,253,646,899,0,1
dontcache,miss,141,2420,13093,15513,72,1
dontcache,hit,141,259,563,822,0,1
dontcache,miss,142,2196,10403,12599,56,1
dontcache,hit,142,255,555,810,0,1
dontcache,miss,143,2465,10636,13101,57,1
dontcache,hit,143,254,557,811,0,1
dontcache,miss,144,2281,10741,13022,58,1
dontcache,hit,144,254,551,805,0,1
dontcache,miss,145,2468,11832,14300,64,1
dontcache,hit,145,252,547,799,0,1
dontcache,miss,146,2109,9757,11866,52,1
dontcache,hit,146,251,551,802,0,1
dontcache,miss,147,2307,9999,12306,53,1
dontcache,hit,147,263,555,818,0,1
dontcache,miss,148,2271,10354,12625,56,1
dontcache,hit,148,256,540,796,0,1
dontcache,miss,149,2440,10720,13160,58,1
dontcache,hit,149,254,551,805,0,1
dontcache,miss,150,2243,9161,11404,48,1
dontcache,hit,150,252,539,791,0,1
dontcache,miss,151,2281,10346,12627,55,1
dontcache,hit,151,253,552,805,0,1
dontcache,miss,152,2837,10174,13011,53,1
dontcache,hit,152,260,612,872,0,1
dontcache,miss,153,2491,10593,13084,57,1
dontcache,hit,153,249,547,796,0,1
dontcache,miss,154,2276,9880,12156,53,1
dontcache,hit,154,251,545,796,0,1
dontcache,miss,155,2477,10649,13126,57,1
dontcache,hit,155,248,544,792,0,1
dontcache,miss,156,2279,10777,13056,58,1
dontcache,hit,156,254,536,790,0,1
dontcache,miss,157,2445,9152,11597,48,1
dontcache,hit,157,250,549,799,0,1
dontcache,miss,158,2306,11679,13985,64,1
dontcache,hit,158,255,550,805,0,1
dontcache,miss,159,2569,10801,13370,58,1
dontcache,hit,159,248,546,794,0,1
dontcache,miss,160,2252,10631,12883,57,1
dontcache,hit,160,247,553,800,0,1
dontcache,miss,161,2484,10587,13071,57,1
dontcache,hit,161,248,547,795,0,1
dontcache,miss,162,2295,13257,15552,73,1
dontcache,hit,162,255,548,803,0,1
dontcache,miss,163,2488,11302,13790,61,1
dontcache,hit,163,249,541,790,0,1
dontcache,miss,164,2121,10596,12717,57,1
dontcache,hit,164,257,560,817,0,1
dontcache,miss,165,2484,10550,13034,56,1
dontcache,hit,165,253,547,800,0,1
dontcache,miss,166,2249,10594,12843,57,1
dontcache,hit,166,250,535,785,0,1
dontcache,miss,167,2448,11503,13951,62,1
dontcache,hit,167,248,540,788,0,1
dontcache,miss,168,2103,10767,12870,58,1
dontcache,hit,168,250,540,790,0,1
dontcache,miss,169,2286,11049,13335,59,1
dontcache,hit,169,248,547,795,0,1
dontcache,miss,170,2261,9771,12032,52,1
dontcache,hit,170,252,543,795,0,1
dontcache,miss,171,2427,9847,12274,52,1
dontcache,hit,171,250,531,781,0,1
dontcache,miss,172,2260,10443,12703,56,1
dontcache,hit,172,249,532,781,0,1
dontcache,miss,173,2470,10438,12908,56,1
dontcache,hit,173,299,701,1000,0,1
dontcache,miss,174,2400,10629,13029,57,1
dontcache,hit,174,253,573,826,0,1
dontcache,miss,175,2439,9807,12246,52,1
dontcache,hit,175,252,550,802,0,1
dontcache,miss,176,2290,9579,11869,51,1
dontcache,hit,176,255,553,808,0,1
dontcache,miss,177,2410,10507,12917,56,1
dontcache,hit,177,254,547,801,0,1
dontcache,miss,178,2262,10434,12696,56,1
dontcache,hit,178,256,545,801,0,1
dontcache,miss,179,2451,9515,11966,50,1
dontcache,hit,179,253,545,798,0,1
dontcache,miss,180,2253,12094,14347,66,1
dontcache,hit,180,251,545,796,0,1
dontcache,miss,181,2438,10938,13376,59,1
dontcache,hit,181,263,549,812,0,1
dontcache,miss,182,2385,10790,13175,58,1
dontcache,hit,182,255,554,809,0,1
dontcache,miss,183,2444,10523,12967,56,1
dontcache,hit,183,255,564,819,0,1
dontcache,miss,184,2267,13229,15496,73,1
dontcache,hit,184,328,873,1201,0,1
dontcache,miss,185,2545,12986,15531,71,1
dontcache,hit,185,346,577,923,0,1
dontcache,miss,186,2101,10802,12903,58,1
dontcache,hit,186,258,558,816,0,1
dontcache,miss,187,2497,9310,11807,49,1
dontcache,hit,187,257,555,812,0,1
dontcache,miss,188,2298,10275,12573,55,1
dontcache,hit,188,257,532,789,0,1
dontcache,miss,189,2458,12285,14743,67,1
dontcache,hit,189,257,536,793,0,1
dontcache,miss,190,2149,10083,12232,54,1
dontcache,hit,190,255,523,778,0,1
dontcache,miss,191,2247,10328,12575,55,1
dontcache,hit,191,261,544,805,0,1
dontcache,miss,192,2266,9944,12210,53,1
dontcache,hit,192,264,528,792,0,1
dontcache,miss,193,2472,9861,12333,52,1
dontcache,hit,193,255,532,787,0,1
dontcache,miss,194,2309,11050,13359,60,1
dontcache,hit,194,259,527,786,0,1
dontcache,miss,195,2286,9494,11780,50,1
dontcache,hit,195,255,541,796,0,1
dontcache,miss,196,2341,9564,11905,51,1
dontcache,hit,196,260,541,801,0,1
dontcache,miss,197,2517,10595,13112,57,1
dontcache,hit,197,257,528,785,0,1
dontcache,miss,198,2344,10454,12798,56,1
dontcache,hit,198,256,552,808,0,1
dontcache,miss,199,2703,11062,13765,60,1
dontcache,hit,199,258,542,800,0,1
dontcache,miss,200,2294,10764,13058,58,1
dontcache,hit,200,323,533,856,0,1
dontcache,miss,201,2515,10177,12692,54,1
dontcache,hit,201,322,549,871,0,1
