mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,800,89,0,0,390555469922,390555474381,390557456690,390558229920,390558632738,390556462309,390556472841,0,0,0,0,0
dontcache,7.2.0-flushmon,800,90,1,1,390561151573,390561154941,390563050216,390563891126,390563949287,390562157096,390562166226,0,0,0,0,0
dontcache,7.2.0-flushmon,800,91,1,1,390566228587,390566232598,390568200565,390569019860,390569065167,390567205759,390567219569,0,0,0,0,0
dontcache,7.2.0-flushmon,800,92,0,0,390571473510,390571476418,390573482021,390574249072,390574705270,390572476151,390572484354,0,0,0,0,0
dontcache,7.2.0-flushmon,800,93,0,0,390576963594,390576964590,390578970091,390579771492,390580268218,390578068469,390578077701,0,0,0,0,0
dontcache,7.2.0-flushmon,800,94,0,0,390582894959,390582900781,390584759984,390585561286,390586030641,390583752868,390583764881,0,0,0,0,0
dontcache,7.2.0-flushmon,800,95,0,0,390588777318,390588781835,390590629349,390591399153,390591869972,390589621625,390589632664,0,0,0,0,0
dontcache,7.2.0-flushmon,800,96,0,0,390594766527,390594770910,390596670121,390597458047,390597812994,390595655128,390595666639,0,0,0,0,0
dontcache,7.2.0-flushmon,800,97,1,1,390600589406,390600594798,390602550675,390603298519,390603397206,390601528569,390601544800,0,0,0,0,0
dontcache,7.2.0-flushmon,800,98,0,0,390605691179,390605692633,390607716713,390608508606,390608976184,390606687715,390606689440,0,0,0,0,0
dontcache,7.2.0-flushmon,800,99,1,1,390611437025,390611442115,390613385141,390614227795,390614310143,390612392805,390612406056,0,0,0,0,0
dontcache,7.2.0-flushmon,800,100,1,1,390616684246,390616689900,390618548273,390619339673,390619425290,390617548968,390617562363,0,0,0,0,0
dontcache,7.2.0-flushmon,800,101,1,1,390621793396,390621799096,390623656972,390624432296,390624492796,390622663942,390622677334,0,0,0,0,0
