mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
reference,hit,145,293,508,801,0,1
reference,miss,146,204,17,221,0,1
reference,hit,146,288,504,792,0,1
reference,miss,147,223,17,240,0,1
reference,hit,147,296,503,799,0,1
reference,miss,148,204,18,222,0,1
reference,hit,148,291,512,803,0,1
reference,miss,149,226,17,243,0,1
reference,hit,149,298,509,807,0,1
reference,miss,150,206,18,224,0,1
reference,hit,150,283,494,777,0,1
reference,miss,151,239,18,257,0,1
reference,hit,151,304,484,788,0,1
reference,miss,152,203,19,222,0,1
reference,hit,152,291,513,804,0,1
reference,miss,153,221,18,239,0,1
reference,hit,153,293,509,802,0,1
reference,miss,154,202,19,221,0,1
reference,hit,154,287,509,796,0,1
reference,miss,155,228,18,246,0,1
reference,hit,155,296,510,806,0,1
reference,miss,156,204,18,222,0,1
reference,hit,156,283,499,782,0,1
reference,miss,157,226,18,244,0,1
reference,hit,157,305,490,795,0,1
reference,miss,158,205,19,224,0,1
reference,hit,158,293,488,781,0,1
reference,miss,159,223,18,241,0,1
reference,hit,159,295,489,784,0,1
reference,miss,160,209,19,228,0,1
reference,hit,160,293,527,820,0,1
reference,miss,161,217,17,234,0,1
reference,hit,161,286,498,784,0,1
reference,miss,162,206,18,224,0,1
reference,hit,162,294,490,784,0,1
reference,miss,163,226,18,244,0,1
reference,hit,163,342,678,1020,0,1
reference,miss,164,213,17,230,0,1
reference,hit,164,290,513,803,0,1
reference,miss,165,217,18,235,0,1
reference,hit,165,285,512,797,0,1
reference,miss,166,207,18,225,0,1
reference,hit,166,290,496,786,0,1
reference,miss,167,222,17,239,0,1
reference,hit,167,292,491,783,0,1
reference,miss,168,210,18,228,0,1
reference,hit,168,290,495,785,0,1
reference,miss,169,223,18,241,0,1
reference,hit,169,290,509,799,0,1
reference,miss,170,214,17,231,0,1
reference,hit,170,285,497,782,0,1
reference,miss,171,217,18,235,0,1
reference,hit,171,275,505,780,0,1
reference,miss,172,208,19,227,0,1
reference,hit,172,293,549,842,0,1
reference,miss,173,236,18,254,0,1
reference,hit,173,291,483,774,0,1
reference,miss,174,203,18,221,0,1
reference,hit,174,281,499,780,0,1
reference,miss,175,212,19,231,0,1
reference,hit,175,291,475,766,0,1
reference,miss,176,205,17,222,0,1
reference,hit,176,280,522,802,0,1
reference,miss,177,217,18,235,0,1
reference,hit,177,286,509,795,0,1
reference,miss,178,202,17,219,0,1
reference,hit,178,283,496,779,0,1
reference,miss,179,214,18,232,0,1
reference,hit,179,278,503,781,0,1
reference,miss,180,202,17,219,0,1
reference,hit,180,273,495,768,0,1
reference,miss,181,220,17,237,0,1
reference,hit,181,288,476,764,0,1
reference,miss,182,209,17,226,0,1
reference,hit,182,280,515,795,0,1
reference,miss,183,214,18,232,0,1
reference,hit,183,291,504,795,0,1
reference,miss,184,201,17,218,0,1
reference,hit,184,271,477,748,0,1
reference,miss,185,219,18,237,0,1
reference,hit,185,338,610,948,0,1
reference,miss,186,205,17,222,0,1
reference,hit,186,282,497,779,0,1
reference,miss,187,215,18,233,0,1
reference,hit,187,286,497,783,0,1
reference,miss,188,198,18,216,0,1
reference,hit,188,275,523,798,0,1
reference,miss,189,215,18,233,0,1
reference,hit,189,289,483,772,0,1
reference,miss,190,201,18,219,0,1
reference,hit,190,278,491,769,0,1
reference,miss,191,218,18,236,0,1
reference,hit,191,301,500,801,0,1
reference,miss,192,208,19,227,0,1
reference,hit,192,285,486,771,0,1
reference,miss,193,218,18,236,0,1
reference,hit,193,295,530,825,0,1
reference,miss,194,206,18,224,0,1
reference,hit,194,286,496,782,0,1
reference,miss,195,213,19,232,0,1
reference,hit,195,293,486,779,0,1
reference,miss,196,203,18,221,0,1
reference,hit,196,279,500,779,0,1
reference,miss,197,218,17,235,0,1
reference,hit,197,276,489,765,0,1
reference,miss,198,205,18,223,0,1
reference,hit,198,291,490,781,0,1
reference,miss,199,231,19,250,0,1
reference,hit,199,288,515,803,0,1
reference,miss,200,207,17,224,0,1
reference,hit,200,283,480,763,0,1
reference,miss,201,214,18,232,0,1
reference,hit,201,285,502,787,0,1
reference,miss,202,198,17,215,0,1
reference,hit,202,283,496,779,0,1
reference,miss,203,225,18,243,0,1
reference,hit,203,287,518,805,0,1
reference,miss,204,212,1192,1404,0,1
reference,hit,204,302,1207,1509,0,1
reference,miss,205,232,17,249,0,1
reference,hit,205,332,592,924,0,1
reference,miss,206,208,18,226,0,1
reference,hit,206,285,484,769,0,1
reference,miss,207,225,17,242,0,1
reference,hit,207,329,632,961,0,1
reference,miss,208,206,18,224,0,1
reference,hit,208,283,550,833,0,1
reference,miss,209,213,17,230,0,1
reference,hit,209,294,482,776,0,1
reference,miss,210,199,18,217,0,1
reference,hit,210,280,492,772,0,1
reference,miss,211,217,18,235,0,1
reference,hit,211,278,494,772,0,1
reference,miss,212,202,17,219,0,1
reference,hit,212,294,504,798,0,1
reference,miss,213,218,18,236,0,1
reference,hit,213,293,497,790,0,1
reference,miss,214,204,17,221,0,1
reference,hit,214,291,494,785,0,1
reference,miss,215,215,17,232,0,1
reference,hit,215,293,488,781,0,1
reference,miss,216,202,19,221,0,1
reference,hit,216,279,476,755,0,1
reference,miss,217,217,17,234,0,1
reference,hit,217,273,472,745,0,1
reference,miss,218,200,18,218,0,1
reference,hit,218,277,478,755,0,1
reference,miss,219,215,17,232,0,1
reference,hit,219,280,478,758,0,1
reference,miss,220,198,16,214,0,1
reference,hit,220,290,484,774,0,1
reference,miss,221,220,17,237,0,1
reference,hit,221,286,480,766,0,1
reference,miss,222,200,19,219,0,1
reference,hit,222,296,490,786,0,1
reference,miss,223,214,18,232,0,1
reference,hit,223,279,494,773,0,1
reference,miss,224,203,19,222,0,1
reference,hit,224,283,476,759,0,1
reference,miss,225,210,17,227,0,1
reference,hit,225,287,489,776,0,1
reference,miss,226,200,17,217,0,1
reference,hit,226,274,506,780,0,1
reference,miss,227,215,17,232,0,1
reference,hit,227,276,503,779,0,1
reference,miss,228,198,18,216,0,1
reference,hit,228,279,479,758,0,1
reference,miss,229,222,17,239,0,1
reference,hit,229,309,639,948,0,1
reference,miss,230,205,18,223,0,1
reference,hit,230,282,505,787,0,1
reference,miss,231,214,17,231,0,1
reference,hit,231,283,505,788,0,1
reference,miss,232,203,18,221,0,1
reference,hit,232,284,508,792,0,1
reference,miss,233,219,18,237,0,1
reference,hit,233,286,513,799,0,1
reference,miss,234,206,18,224,0,1
reference,hit,234,274,508,782,0,1
reference,miss,235,226,18,244,0,1
reference,hit,235,292,494,786,0,1
reference,miss,236,206,18,224,0,1
reference,hit,236,277,519,796,0,1
reference,miss,237,218,19,237,0,1
reference,hit,237,285,491,776,0,1
reference,miss,238,202,18,220,0,1
reference,hit,238,279,483,762,0,1
reference,miss,239,223,18,241,0,1
reference,hit,239,285,492,777,0,1
reference,miss,240,204,18,222,0,1
reference,hit,240,281,494,775,0,1
reference,miss,241,235,17,252,0,1
reference,hit,241,287,494,781,0,1
reference,miss,242,206,19,225,0,1
reference,hit,242,351,692,1043,0,1
reference,miss,243,221,19,240,0,1
reference,hit,243,290,488,778,0,1
reference,miss,244,206,17,223,0,1
reference,hit,244,293,481,774,0,1
reference,miss,245,217,18,235,0,1
reference,hit,245,295,476,771,0,1
reference,miss,246,208,18,226,0,1
reference,hit,246,285,501,786,0,1
reference,miss,247,233,17,250,0,1
reference,hit,247,286,492,778,0,1
reference,miss,248,204,18,222,0,1
reference,hit,248,288,492,780,0,1
reference,miss,249,217,17,234,0,1
reference,hit,249,286,516,802,0,1
reference,miss,250,201,17,218,0,1
reference,hit,250,292,503,795,0,1
reference,miss,251,217,18,235,0,1
reference,hit,251,331,640,971,0,1
reference,miss,252,208,18,226,0,1
reference,hit,252,296,517,813,0,1
reference,miss,253,237,17,254,0,1
reference,hit,253,290,509,799,0,1
reference,miss,254,203,17,220,0,1
reference,hit,254,288,525,813,0,1
reference,miss,255,233,17,250,0,1
reference,hit,255,300,511,811,0,1
reference,miss,256,210,18,228,0,1
reference,hit,256,296,490,786,0,1
reference,miss,257,218,18,236,0,1
reference,hit,257,292,491,783,0,1
reference,miss,258,210,18,228,0,1
reference,hit,258,290,496,786,0,1
reference,miss,259,218,18,236,0,1
reference,hit,259,294,493,787,0,1
reference,miss,260,208,17,225,0,1
reference,hit,260,285,493,778,0,1
reference,miss,261,216,18,234,0,1
reference,hit,261,290,498,788,0,1
reference,miss,262,206,17,223,0,1
reference,hit,262,287,504,791,0,1
reference,miss,263,216,18,234,0,1
reference,hit,263,283,489,772,0,1
reference,miss,264,207,17,224,0,1
reference,hit,264,288,488,776,0,1
reference,miss,265,225,17,242,0,1
reference,hit,265,294,496,790,0,1
